date,open,high,low,close,volume
4/6/2020 16:00,115.16,115.7,114.71,114.77,551037
4/6/2020 15:55,114,115.16,113.68,115.16,317191
4/6/2020 15:50,113.62,113.68,113.29,113.66,79888
4/6/2020 15:45,113.28,113.64,113.27,113.6,74396
4/6/2020 15:40,113.16,113.3,113.05,113.26,73463
4/6/2020 15:35,113.3264,113.38,113.07,113.135,91007
4/6/2020 15:30,113.26,113.37,113.145,113.32,60398
4/6/2020 15:25,113.05,113.26,113.03,113.26,52173
4/6/2020 15:20,113.341,113.433,112.975,113.045,46458
4/6/2020 15:15,113.67,113.7,113.23,113.33,46708
4/6/2020 15:10,113.285,113.68,113.285,113.675,44780
4/6/2020 15:05,113.205,113.35,112.88,113.32,35464
4/6/2020 15:00,113.14,113.38,113.13,113.26,32569
4/6/2020 14:55,113.34,113.37,113.16,113.18,30066
4/6/2020 14:50,112.97,113.34,112.97,113.34,38046
4/6/2020 14:45,112.9044,113.04,112.855,113.02,27317
4/6/2020 14:40,112.77,112.97,112.76,112.94,24862
4/6/2020 14:35,112.805,112.89,112.68,112.795,31241
4/6/2020 14:30,112.655,112.82,112.55,112.77,26607
4/6/2020 14:25,112.49,112.7,112.38,112.68,26750
4/6/2020 14:20,112.47,112.57,112.36,112.485,30605
4/6/2020 14:15,112.658,112.75,112.435,112.5,31201
4/6/2020 14:10,112.93,112.9313,112.54,112.65,26483
4/6/2020 14:05,113.015,113.015,112.74,112.91,38020
4/6/2020 14:00,113.04,113.07,112.93,113.02,22361
4/6/2020 13:55,113.005,113.1,112.9501,113.03,26095
4/6/2020 13:50,112.975,113.04,112.78,113.005,37317
4/6/2020 13:45,112.8,112.97,112.78,112.97,33341
4/6/2020 13:40,112.66,112.8665,112.58,112.81,26366
4/6/2020 13:35,112.73,112.8,112.525,112.615,32443
4/6/2020 13:30,112.58,112.79,112.5669,112.705,37388
4/6/2020 13:25,112.3701,112.72,112.365,112.6049,40588
4/6/2020 13:20,112.45,112.54,112.29,112.4,37961
4/6/2020 13:15,112.4,112.6,112.4,112.505,28757
4/6/2020 13:10,112.325,112.5,112.3,112.44,28623
4/6/2020 13:05,112.4609,112.57,112.33,112.33,27681
4/6/2020 13:00,112.23,112.475,112.21,112.46,25881
4/6/2020 12:55,112.15,112.42,112.11,112.2599,40379
4/6/2020 12:50,112.24,112.38,112.12,112.17,34193
4/6/2020 12:45,112.585,112.63,112.25,112.25,26366
4/6/2020 12:40,112.51,112.66,112.48,112.58,28145
